epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,5574.27,0.03829,0.93484,0.98795,0.35457,0.000307,0.000307,0.000307
72,5655.48,0.03789,0.93468,0.98795,0.3546,0.0002971,0.0002971,0.0002971
73,5735.01,0.03672,0.93501,0.98827,0.35526,0.0002872,0.0002872,0.0002872
74,5811.08,0.03836,0.93501,0.98843,0.35581,0.0002773,0.0002773,0.0002773
75,5887.61,0.03635,0.93533,0.98843,0.35602,0.0002674,0.0002674,0.0002674
76,5961.23,0.03478,0.93566,0.98843,0.35683,0.0002575,0.0002575,0.0002575
77,6039.84,0.03062,0.93598,0.98827,0.35712,0.0002476,0.0002476,0.0002476
78,6117.39,0.02641,0.93631,0.98811,0.35746,0.0002377,0.0002377,0.0002377
79,6195.74,0.02802,0.93647,0.98827,0.35822,0.0002278,0.0002278,0.0002278
80,6270.78,0.0302,0.93647,0.98795,0.35852,0.0002179,0.0002179,0.0002179
81,6344.01,0.02715,0.93631,0.98811,0.35895,0.000208,0.000208,0.000208
82,6421.96,0.02349,0.93615,0.98811,0.35928,0.0001981,0.0001981,0.0001981
83,6502.39,0.02144,0.93582,0.98811,0.35961,0.0001882,0.0001882,0.0001882
84,6581.77,0.02226,0.93615,0.98811,0.35989,0.0001783,0.0001783,0.0001783
85,6657.79,0.02075,0.93582,0.98795,0.36093,0.0001684,0.0001684,0.0001684
86,6734.39,0.01859,0.93566,0.98778,0.36116,0.0001585,0.0001585,0.0001585
87,6815.45,0.01774,0.93566,0.98778,0.36221,0.0001486,0.0001486,0.0001486
88,6893.96,0.02119,0.93663,0.98778,0.36294,0.0001387,0.0001387,0.0001387
89,6973.41,0.01758,0.93615,0.98795,0.36375,0.0001288,0.0001288,0.0001288
90,7053.99,0.01683,0.93696,0.98795,0.36452,0.0001189,0.0001189,0.0001189
91,7140.66,0.01437,0.93647,0.98811,0.36548,0.000109,0.000109,0.000109
92,7217.98,0.0155,0.9368,0.98811,0.36639,9.91e-05,9.91e-05,9.91e-05
93,7296.25,0.0138,0.93696,0.98876,0.36717,8.92e-05,8.92e-05,8.92e-05
94,7371.54,0.0146,0.93663,0.9886,0.36781,7.93e-05,7.93e-05,7.93e-05
95,7450.15,0.01613,0.93696,0.98876,0.36845,6.94e-05,6.94e-05,6.94e-05
96,7528.13,0.0129,0.93696,0.9886,0.36913,5.95e-05,5.95e-05,5.95e-05
97,7606.16,0.01273,0.93647,0.9886,0.36987,4.96e-05,4.96e-05,4.96e-05
98,7687.24,0.0114,0.93647,0.9886,0.37042,3.97e-05,3.97e-05,3.97e-05
99,7766.72,0.00981,0.93647,0.9886,0.37136,2.98e-05,2.98e-05,2.98e-05
100,7844.92,0.0118,0.93631,0.9886,0.37175,1.99e-05,1.99e-05,1.99e-05
